CALC_VIEW,SOURCE,CALC_ID,SOURCE_ID,LINK_VALUE,COLOR
CUSTOMER_BANK_DETAILS,payments,0,19,1,aliceblue
CUSTOMER_BANK_DETAILS,customers,0,9,1,aliceblue
CUSTOMER_BANK_DETAILS,loans,0,15,1,aliceblue
CUSTOMER_BANK_DETAILS,transactions,0,29,1,aliceblue
CUSTOMER_BANK_DETAILS,accounts,0,6,1,aliceblue
CUSTOMER_BANK_DETAILS,branches,0,7,1,aliceblue
CUSTOMER_BANK_DETAILS,account_types,0,5,1,aliceblue
CUSTOMER_ORDER,orders,1,18,1,aliceblue
CUSTOMER_ORDER,reviews,1,23,1,aliceblue
CUSTOMER_ORDER,order_items,1,17,1,aliceblue
CUSTOMER_ORDER,products,1,22,1,aliceblue
CUSTOMER_ORDER,payments,1,19,1,aliceblue
CUSTOMER_ORDER,customers,1,9,1,aliceblue
CUSTOMER_ORDER,categories,1,8,1,aliceblue
CUSTOMER_SUBSCRIPTION_DETAILS,payments,2,19,1,aliceblue
CUSTOMER_SUBSCRIPTION_DETAILS,customers,2,9,1,aliceblue
CUSTOMER_SUBSCRIPTION_DETAILS,subscription_reviews,2,26,1,aliceblue
CUSTOMER_SUBSCRIPTION_DETAILS,subscriptions,2,27,1,aliceblue
CUSTOMER_SUBSCRIPTION_DETAILS,subscription_plans,2,25,1,aliceblue
INVESTOR_OVERVIEW,market_data,3,16,1,aliceblue
INVESTOR_OVERVIEW,trades,3,28,1,aliceblue
INVESTOR_OVERVIEW,dividends,3,13,1,aliceblue
INVESTOR_OVERVIEW,stocks,3,24,1,aliceblue
INVESTOR_OVERVIEW,investors,3,14,1,aliceblue
INVESTOR_OVERVIEW,portfolios,3,20,1,aliceblue
VENDOR_PERFORMANCE_ANALYSIS,products,4,22,1,aliceblue
VENDOR_PERFORMANCE_ANALYSIS,deliveries,4,11,1,aliceblue
VENDOR_PERFORMANCE_ANALYSIS,product_reviews,4,21,1,aliceblue
VENDOR_PERFORMANCE_ANALYSIS,delivery_items,4,12,1,aliceblue
VENDOR_PERFORMANCE_ANALYSIS,vendors,4,30,1,aliceblue
VENDOR_PERFORMANCE_ANALYSIS,categories,4,8,1,aliceblue
VENDOR_PERFORMANCE_ANALYSIS,d,4,10,1,aliceblue
